Название,Ссылка,Описание,Дата релиза,Жанры,Разработчик,Общая оценка,Кол-во отзывов,Цена
Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.","21 Aug, 2012","Action, Free To Play, Valve, Valve",Valve,Very Positive,"74,187",Free To Play
Squad,https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_7000_150_1,"Squad is a tactical FPS that provides authentic combat experiences through teamwork, communication, and realistic combat. It bridges the gap between arcade shooter and military realism with 100-player battles, combined-arms warfare, and base building.","23 Sep, 2020","Action, Indie, Massively Multiplayer, Strategy, Offworld, Offworld, Offworld",Offworld,Very Positive,"2,057",11 700₸
Dota 2,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","9 Jul, 2013","Action, Strategy, Free To Play, Valve, Valve, Dota",Valve,Very Positive,"22,851",Free To Play
Stellaris,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_7000_150_1,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.","9 May, 2016","Simulation, Strategy, Paradox Development Studio, Paradox Interactive, Stellaris",Paradox Development Studio,Very Positive,840,93 610₸
R.E.P.O.,https://store.steampowered.com/app/3241660/REPO/?snr=1_7_7_7000_150_1,"An online co-op horror game with up to 6 players. Locate valuable, fully physics-based objects and handle them with care as you retrieve and extract to satisfy your creator's desires.","26 Feb, 2025","Action, Early Access, semiwork, semiwork",semiwork,Overwhelmingly Positive,"50,712",2 900₸
Rust,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife, other inhabitants, the environment, and other survivors. Do whatever it takes to last another night.","8 Feb, 2018","Action, Adventure, Indie, Massively Multiplayer, RPG, Facepunch Studios, Facepunch Studios",Facepunch Studios,Very Positive,"11,096",10 500₸
Drive Beyond Horizons,https://store.steampowered.com/app/2625420/Drive_Beyond_Horizons/?snr=1_7_7_7000_150_1,"Rev up your engines and venture into the unknown with Drive Beyond Horizons! Conquer dynamic landscapes, customize your ride, and unearth hidden treasures. Get ready for heart-pounding challenges and endless excitement. Your adventure starts now !","24 Mar, 2025","Action, Adventure, Casual, Indie, Racing, Simulation, Early Access, Drive Beyond Horizons, Tacty Studio, Santor Games",Drive Beyond Horizons,Very Positive,"2,464",5 000₸
DARK SOULS™ III,https://store.steampowered.com/app/374320/DARK_SOULS_III/?snr=1_7_7_7000_150_1,"Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. Prepare yourself and Embrace The Darkness!","11 Apr, 2016","Action, FromSoftware, Inc., FromSoftware, Inc., Bandai Namco Entertainment, Dark Souls","FromSoftware, Inc.",Very Positive,"1,420",7 288₸
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1,"PUBG: BATTLEGROUNDS, the high-stakes winner-take-all shooter that started the Battle Royale craze, is free-to-play! Drop into diverse maps, loot unique weapons and supplies, and survive in an ever-shrinking zone where every turn could be your last.","21 Dec, 2017","Action, Adventure, Massively Multiplayer, Free To Play, PUBG Corporation, KRAFTON, Inc.",PUBG Corporation,Mixed,"16,992",Free To Play
V Rising,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_7000_150_1,"Awaken as a Vampire. Hunt for blood in nearby settlements to regain your strength and evade the scorching sun to survive. Raise your castle and thrive in an ever-changing, open world full of mystery. Gain allies online and conquer the land of the living.","8 May, 2024","Action, Adventure, Massively Multiplayer, Stunlock Studios, Stunlock Studios",Stunlock Studios,Very Positive,"2,418",19 050₸
Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_7000_150_1,"Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.","6 Jun, 2016","Simulation, Strategy, Paradox Development Studio, Paradox Interactive, Hearts of Iron",Paradox Development Studio,Very Positive,"2,327",51 415₸
Schedule I,https://store.steampowered.com/app/3164500/Schedule_I/?snr=1_7_7_7000_150_1,"From small-time dope pusher to kingpin - manufacture and distribute a range of drugs throughout the grungy city of Hyland Point. Expand your empire with properties, businesses, employees and more.","24 Mar, 2025","Action, Indie, Simulation, Strategy, Early Access, TVGS, TVGS",TVGS,Overwhelmingly Positive,"109,763",5 200₸
Arma 3,https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_7000_150_1,"Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC’s premier military game. Authentic, diverse, open - Arma 3 sends you to war.","12 Sep, 2013","Action, Simulation, Strategy, Bohemia Interactive, Bohemia Interactive, Arma Franchise",Bohemia Interactive,Very Positive,"1,167",13 500₸
DARK SOULS™: REMASTERED,https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/?snr=1_7_7_7000_150_1,"Then, there was fire. Re-experience the critically acclaimed, genre-defining game that started it all. Beautifully remastered, return to Lordran in stunning high-definition detail running at 60fps.","23 May, 2018","Action, QLOC, FromSoftware, Inc., FromSoftware, Inc., Bandai Namco Entertainment",QLOC,Very Positive,"1,189",5 999₸
Crusader Kings III,https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_7000_150_1,"Love, fight, scheme, and claim greatness. Determine your noble house’s legacy in the sprawling grand strategy of Crusader Kings III. Death is only the beginning as you guide your dynasty’s bloodline in the rich and larger-than-life simulation of the Middle Ages.","1 Sep, 2020","RPG, Simulation, Strategy, Paradox Development Studio, Paradox Interactive, Crusader Kings",Paradox Development Studio,Mostly Positive,"1,088",62 061₸
Stellaris: BioGenesis,https://store.steampowered.com/app/3417840/Stellaris_BioGenesis/?snr=1_7_7_7000_150_1,Roadmap,"5 May, 2025","Simulation, Strategy, Paradox Development Studio, Paradox Interactive, Stellaris",Paradox Development Studio,Mixed,98,8 300₸
MudRunner,https://store.steampowered.com/app/675010/MudRunner/?snr=1_7_7_7000_150_1,"MudRunner is the ultimate off-road experience putting the players in the driver seat and dares them to take charge of incredible all-terrain vehicles, venturing across extreme Siberian landscapes with only a map and compass as guides!","30 Oct, 2017","Simulation, Saber Interactive, Focus Entertainment",Saber Interactive,Very Positive,286,558₸
Foxhole,https://store.steampowered.com/app/505460/Foxhole/?snr=1_7_7_7000_150_1,"Foxhole is a massively multiplayer game where thousands of players shape the outcome of a persistent online war. Every individual soldier is a player that contributes to the war effort through logistics, base building, reconnaissance, combat, and more.","28 Sep, 2022","Action, Indie, Massively Multiplayer, RPG, Strategy, Siege Camp, Siege Camp",Siege Camp,Very Positive,630,3 900₸
Deep Rock Galactic,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_7000_150_1,"Deep Rock Galactic is a 1-4 player co-op FPS featuring badass space Dwarves, 100% destructible environments, procedurally-generated caves, and endless hordes of alien monsters.","13 May, 2020","Action, Ghost Ship Games, Coffee Stain Publishing, Coffee Stain Publishing",Ghost Ship Games,Overwhelmingly Positive,"2,225",11 348₸
Torchlight: Infinite,https://store.steampowered.com/app/1974050/Torchlight_Infinite/?snr=1_7_7_7000_150_1,"The fate of Ember Technology is in your hands. With abounding hero build possibilities, dive into an epic journey with endless loot, adrenaline-pumping fights & new seasonal contents.","9 May, 2023","Action, Adventure, RPG, Free To Play, XD, XD",XD,Mostly Positive,643,Free To Play
Once Human,https://store.steampowered.com/app/2139460/Once_Human/?snr=1_7_7_7000_150_1,"Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world.","9 Jul, 2024","Action, Adventure, RPG, Simulation, Strategy, Free To Play, Starry Studio, Starry Studio",Starry Studio,Mostly Positive,"3,263",Free To Play
Path of Exile 2,https://store.steampowered.com/app/2694490/Path_of_Exile_2/?snr=1_7_7_7000_150_1,"Path of Exile 2 is a next generation Action RPG from Grinding Gear Games, featuring co-op for up to six players. Set years after the original Path of Exile, you will return to the dark world of Wraeclast and seek to end the corruption that is spreading.","6 Dec, 2024","Action, Adventure, Massively Multiplayer, RPG, Early Access, Grinding Gear Games, Grinding Gear Games",Grinding Gear Games,Mostly Negative,"17,093",7 600₸
Geometry Dash,https://store.steampowered.com/app/322170/Geometry_Dash/?snr=1_7_7_7000_150_1,Jump and fly your way through danger in this rhythm-based action platformer!,"22 Dec, 2014","Action, Indie, RobTop Games, RobTop Games",RobTop Games,Very Positive,"9,027",1 500₸
Call to Arms - Gates of Hell: Ostfront,https://store.steampowered.com/app/400750/Call_to_Arms__Gates_of_Hell_Ostfront/?snr=1_7_7_7000_150_1,"Call to Arms - Gates of Hell is a realistic RTS/ RTT game that offers endless replay value. Command all types of troops in historical singleplayer, dynamic campaign, PvP and PvE battles. Are you ready for some serious immersion in World War 2?","11 Jun, 2021","Action, Simulation, Strategy, Barbedwire Studios, Digitalmindsoft, Digitalmindsoft",Barbedwire Studios,Very Positive,655,8 800₸
Cuphead,https://store.steampowered.com/app/268910/Cuphead/?snr=1_7_7_7000_150_1,"Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings.","29 Sep, 2017","Action, Indie, Studio MDHR Entertainment Inc., Studio MDHR Entertainment Inc.",Studio MDHR Entertainment Inc.,Overwhelmingly Positive,"1,868",3 150₸
Car Mechanic Simulator 2021,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_7000_150_1,Work your way to a service empire. Get your hands dirty in a highly realistic simulation game that pays major attention to details. Pay a visit to a new Auction house and buy cars in various conditions. Expand your range of services by investing in a new work space and equipment.,"11 Aug, 2021","Racing, Simulation, Red Dot Games, PlayWay S.A., PlayWay S.A., Red Dot Games, Car Mechanic Simulator",Red Dot Games,Overwhelmingly Positive,352,Car Mechanic Simulator 2021 Demo
Farming Simulator 25,https://store.steampowered.com/app/2300320/Farming_Simulator_25/?snr=1_7_7_7000_150_1,"Farming Simulator 25 invites you to join the rewarding farm life, single-handedly or cooperatively in multiplayer. This Farm is Your Farm!","12 Nov, 2024","Simulation, Giants Software, Giants Software, Farming Simulator",Giants Software,Very Positive,987,23 449₸
Soundpad,https://store.steampowered.com/app/629520/Soundpad/?snr=1_7_7_7000_150_1,"Play sounds in voice chats in high digital quality. Add sounds or music to your microphone signal so others will hear it, too.","9 Nov, 2016","Audio Production, Utilities, Leppsoft, Leppsoft",Leppsoft,Overwhelmingly Positive,"2,342",Soundpad Demo
Teardown,https://store.steampowered.com/app/1167630/Teardown/?snr=1_7_7_7000_150_1,Prepare the perfect heist in this simulated and fully destructible voxel world. Tear down walls with vehicles or explosives to create shortcuts. Stack objects to reach higher. Use the environment to your advantage in the most creative way you can think of.,"21 Apr, 2022","Action, Indie, Simulation, Strategy, Tuxedo Labs, Tuxedo Labs",Tuxedo Labs,Overwhelmingly Positive,"1,347",7 349₸
Russian Fishing 4,https://store.steampowered.com/app/766570/Russian_Fishing_4/?snr=1_7_7_7000_150_1,"Russian Fishing 4 is a fishing simulator with RPG elements. There is no story line and the whole process is based on the concept of an open, free to roam and free to play game.","10 Nov, 2021","Adventure, Casual, Massively Multiplayer, RPG, Simulation, Sports, Free To Play, FishSoft LLC, FishSoft LLC",FishSoft LLC,Very Positive,749,Free To Play
Factorio,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_7000_150_1,"Factorio is a game about building and creating automated factories to produce items of increasing complexity, within an infinite 2D world. Use your imagination to design your factory, combine simple elements into ingenious structures, and finally protect it from the creatures who don't really like you.","14 Aug, 2020","Casual, Indie, Simulation, Strategy, Wube Software LTD., Wube Software LTD.",Wube Software LTD.,Overwhelmingly Positive,"1,340",Factorio Demo
Euro Truck Simulator 2,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_1,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.","18 Oct, 2012","Indie, Simulation, SCS Software, SCS Software, SCS Software",SCS Software,Overwhelmingly Positive,"7,350",5 200₸
